"filename","VerifiedTarget","LLMresponse","status","attempts","CharDiff"
"AbsoluteValue.det_le.lean","import Mathlib

open scoped Nat

variable {R S : Type*} [CommRing R] [Nontrivial R]
  [CommRing S] [LinearOrder S] [IsStrictOrderedRing S]

variable {n : Type*} [Fintype n] [DecidableEq n]

theorem det_le {A : Matrix n n R} {abv : AbsoluteValue R S} {x : S} (hx : ∀ i j, abv (A i j) ≤ x) :
    abv A.det ≤ (Fintype.card n)! • x ^ Fintype.card n := calc
    abv A.det = abv (∑ σ : Equiv.Perm n, Equiv.Perm.sign σ • ∏ i, A (σ i) i) := congr_arg abv (Matrix.det_apply _)
    _ ≤ ∑ σ : Equiv.Perm n, abv (Equiv.Perm.sign σ • ∏ i, A (σ i) i) := abv.sum_le _ _
    _ = ∑ σ : Equiv.Perm n, ∏ i, abv (A (σ i) i) :=
      Finset.sum_congr rfl fun σ _ => by rw [abv.map_units_int_smul, abv.map_prod]
    _ ≤ ∑ _σ : Equiv.Perm n, ∏ _i : n, x := by gcongr; simp [hx]
    _ = (Fintype.card n)! • x ^ Fintype.card n := by simp [Fintype.card_perm]
","FAIL
import Mathlib

open scoped Nat

variable {R S : Type*} [CommRing R] [Nontrivial R]
  [CommRing S] [LinearOrder S] [IsStrictOrderedRing S]

variable {n : Type*} [Fintype n] [DecidableEq n]

theorem det_le {A : Matrix n n R} {abv : AbsoluteValue R S} {x : S} (hx : ∀ i j, abv (A i j) ≤ x) :
    abv A.det ≤ (Fintype.card n)! • x ^ Fintype.card n := by
  classical
  rw [Matrix.det_apply]
  calc
    abv (∑ σ : Equiv.Perm n, Equiv.Perm.sign σ • ∏ i, A (σ i) i)
        ≤ ∑ σ : Equiv.Perm n, abv (Equiv.Perm.sign σ • ∏ i, A (σ i) i) := by
          simpa using map_sum_le abv (fun σ : Equiv.Perm n => Equiv.Perm.sign σ • ∏ i, A (σ i) i)
    _ ≤ ∑ σ : Equiv.Perm n, x ^ Fintype.card n := by
          refine Finset.sum_le_sum ?_
          intro σ hσ
          calc
            abv (Equiv.Perm.sign σ • ∏ i, A (σ i) i)
                = abv (Equiv.Perm.sign σ) * abv (∏ i, A (σ i) i) := by
                    simpa [smul_eq_mul] using map_mul abv (Equiv.Perm.sign σ) (∏ i, A (σ i) i)
            _ ≤ 1 * abv (∏ i, A (σ i) i) := by
                  gcongr
                  simpa using abv.map_units_zpow_le_one (Equiv.Perm.sign σ)
            _ = abv (∏ i, A (σ i) i) := by simp
            _ ≤ ∏ i, x := by
                  simpa using map_prod_le abv (fun i => A (σ i) i) (fun i => hx (σ i) i)
            _ = x ^ Fintype.card n := by simp
    _ = (Fintype.card n)! • x ^ Fintype.card n := by
          rw [Finset.sum_const, Finset.card_univ, nsmul_eq_mul]
          simp [Fintype.card_perm]
","FAIL","3","664"
"AddChar.coe_prod.lean","import Mathlib

variable {ι A M : Type*} [AddMonoid A] [CommMonoid M]

theorem coe_prod (s : Finset ι) (ψ : ι → AddChar A M) : ∏ i ∈ s, ψ i = ∏ i ∈ s, ⇑(ψ i) := by
  induction s using Finset.cons_induction <;> simp [*]
","import Mathlib

variable {ι A M : Type*} [AddMonoid A] [CommMonoid M]

theorem coe_prod (s : Finset ι) (ψ : ι → AddChar A M) : ∏ i ∈ s, ψ i = ∏ i ∈ s, ⇑(ψ i) := by
  ext a
  simp
","PASS","1","-40"
"AddChar.coe_sum.lean","import Mathlib

variable {ι A M : Type*} [AddMonoid A] [CommMonoid M]

theorem coe_sum (s : Finset ι) (ψ : ι → AddChar A M) : ∑ i ∈ s, ψ i = ∏ i ∈ s, ⇑(ψ i) := by
  induction s using Finset.cons_induction <;> simp [*]
","import Mathlib

variable {ι A M : Type*} [AddMonoid A] [CommMonoid M]

theorem coe_sum (s : Finset ι) (ψ : ι → AddChar A M) : ∑ i ∈ s, ψ i = ∏ i ∈ s, ⇑(ψ i) := by
  ext a
  simp [map_sum]
","PASS","1","-30"
"AddChar.compAddMonoidHom_injective_left.lean","import Mathlib

variable {A B M N : Type*} [AddMonoid A] [AddMonoid B] [Monoid M] [Monoid N] {ψ : AddChar A M}

theorem compAddMonoidHom_injective_left (f : A →+ B) (hf : Function.Surjective f) :
    Function.Injective fun ψ : AddChar B M ↦ ψ.compAddMonoidHom f := by
  rintro ψ χ h; rw [DFunLike.ext'_iff] at h ⊢; exact hf.injective_comp_right h
","import Mathlib

variable {A B M N : Type*} [AddMonoid A] [AddMonoid B] [Monoid M] [Monoid N] {ψ : AddChar A M}

theorem compAddMonoidHom_injective_left (f : A →+ B) (hf : Function.Surjective f) :
    Function.Injective fun ψ : AddChar B M ↦ ψ.compAddMonoidHom f := by
  intro ψ₁ ψ₂ h
  ext b
  rcases hf b with ⟨a, rfl⟩
  exact congrArg (fun χ : AddChar A M => χ a) h
","PASS","1","21"
"AddChar.compAddMonoidHom_injective_right.lean","import Mathlib

variable {A B M N : Type*} [AddMonoid A] [AddMonoid B] [Monoid M] [Monoid N] {ψ : AddChar A M}

theorem compAddMonoidHom_injective_right (ψ : AddChar B M) (hψ : Function.Injective ψ) :
    Function.Injective fun f : A →+ B ↦ ψ.compAddMonoidHom f := by
  rintro f g h
  rw [DFunLike.ext'_iff] at h ⊢; exact hψ.comp_left h
","import Mathlib

variable {A B M N : Type*} [AddMonoid A] [AddMonoid B] [Monoid M] [Monoid N] {ψ : AddChar A M}

theorem compAddMonoidHom_injective_right (ψ : AddChar B M) (hψ : Function.Injective ψ) :
    Function.Injective fun f : A →+ B ↦ ψ.compAddMonoidHom f := by
  intro f g h
  ext a
  apply hψ
  have := DFunLike.congr_fun h a
  simpa using this
","PASS","1","16"
"AddChar.div_apply'.lean","import Mathlib

variable {A M : Type*} [AddCommGroup A] [DivisionCommMonoid M]

theorem div_apply' (ψ χ : AddChar A M) (a : A) : (ψ / χ) a = ψ a / χ a := by
  rw [AddChar.div_apply, AddChar.map_neg_eq_inv, div_eq_mul_inv]
","FAIL
import Mathlib

variable {A M : Type*} [AddCommGroup A] [DivisionCommMonoid M]

theorem div_apply' (ψ χ : AddChar A M) (a : A) : (ψ / χ) a = ψ a / χ a := by
  change ((ψ * χ⁻¹) : AddChar A M) a = ψ a / χ a
  simp
","FAIL","3","-4"
"AddChar.injective_iff.lean","import Mathlib

variable {A M : Type*} [AddCommGroup A] [DivisionCommMonoid M]

theorem injective_iff {ψ : AddChar A M} : Function.Injective ψ ↔ ∀ ⦃x⦄, ψ x = 1 → x = 0 := ψ.toMonoidHom.ker_eq_bot_iff.symm.trans eq_bot_iff
","FAIL
import Mathlib

variable {A M : Type*} [AddCommGroup A] [DivisionCommMonoid M]

theorem injective_iff {ψ : AddChar A M} : Function.Injective ψ ↔ ∀ ⦃x⦄, ψ x = 1 → x = 0 := by
  constructor
  · intro h x hx
    exact h <| by simpa using hx
  · intro h x y hxy
    have h0 : ψ (x - y) = 1 := by
      rw [show x - y = x + (-y) by abel]
      rw [AddChar.map_add]
      rw [hxy]
      exact div_self (ψ y)
    have hsub : x - y = 0 := h h0
    exact sub_eq_zero.mp hsub
","FAIL","3","249"
"AddChar.ne_zero_iff.lean","import Mathlib

variable {A B M N : Type*} [AddMonoid A] [AddMonoid B] [Monoid M] [Monoid N] {ψ : AddChar A M}

theorem ne_zero_iff : ψ ≠ 0 ↔ ∃ x, ψ x ≠ 1 := DFunLike.ne_iff

noncomputable instance : DecidableEq (AddChar A M) := Classical.decEq _
","import Mathlib

variable {A B M N : Type*} [AddMonoid A] [AddMonoid B] [Monoid M] [Monoid N] {ψ : AddChar A M}

theorem ne_zero_iff : ψ ≠ 0 ↔ ∃ x, ψ x ≠ 1 := by
  constructor
  · intro h
    by_contra h'
    apply h
    ext x
    by_contra hx
    exact h' ⟨x, hx⟩
  · rintro ⟨x, hx⟩ hψ
    apply hx
    rw [hψ]
    rfl
","PASS","1","72"
"AddChar.prod_apply.lean","import Mathlib

variable {ι A M : Type*} [AddMonoid A] [CommMonoid M]

theorem prod_apply (s : Finset ι) (ψ : ι → AddChar A M) (a : A) :
    (∏ i ∈ s, ψ i) a = ∏ i ∈ s, ψ i a := by rw [AddChar.coe_prod, Finset.prod_apply]
","import Mathlib

variable {ι A M : Type*} [AddMonoid A] [CommMonoid M]

theorem prod_apply (s : Finset ι) (ψ : ι → AddChar A M) (a : A) :
    (∏ i ∈ s, ψ i) a = ∏ i ∈ s, ψ i a := by
  classical
  induction s using Finset.induction_on with
  | empty =>
      simp
  | @insert i s hi hs =>
      simp [hi, hs]
","PASS","1","85"
"AddChar.sub_apply'.lean","import Mathlib

variable {A M : Type*} [AddCommGroup A] [DivisionCommMonoid M]

theorem sub_apply' (ψ χ : AddChar A M) (a : A) : (ψ - χ) a = ψ a / χ a := by
  rw [AddChar.sub_apply, AddChar.map_neg_eq_inv, div_eq_mul_inv]
","FAIL
import Mathlib

variable {A M : Type*} [AddCommGroup A] [DivisionCommMonoid M]

theorem sub_apply' (ψ χ : AddChar A M) (a : A) : (ψ - χ) a = ψ a / χ a := by
  rw [div_eq_mul_inv]
  rfl
","FAIL","3","-32"
